full_name,category,default_branch,commits_atom,releases_atom
Azure-Samples/durable-task-extension-for-agent-framework,samples,main,https://github.com/Azure-Samples/durable-task-extension-for-agent-framework/commits/main.atom,https://github.com/Azure-Samples/durable-task-extension-for-agent-framework/releases.atom
Azure-Samples/aks-anyscale,samples,main,https://github.com/Azure-Samples/aks-anyscale/commits/main.atom,https://github.com/Azure-Samples/aks-anyscale/releases.atom
microsoft/dragon-copilot-sdk-samples,samples,main,https://github.com/microsoft/dragon-copilot-sdk-samples/commits/main.atom,https://github.com/microsoft/dragon-copilot-sdk-samples/releases.atom
microsoft/WhatTheHack-Codespaces,training,main,https://github.com/microsoft/WhatTheHack-Codespaces/commits/main.atom,https://github.com/microsoft/WhatTheHack-Codespaces/releases.atom
microsoft/content-processing-solution-accelerator,samples,main,https://github.com/microsoft/content-processing-solution-accelerator/commits/main.atom,https://github.com/microsoft/content-processing-solution-accelerator/releases.atom
Azure-Samples/remote-mcp-functions-dotnet,samples,main,https://github.com/Azure-Samples/remote-mcp-functions-dotnet/commits/main.atom,https://github.com/Azure-Samples/remote-mcp-functions-dotnet/releases.atom
Azure-Samples/aks-labs,samples,main,https://github.com/Azure-Samples/aks-labs/commits/main.atom,https://github.com/Azure-Samples/aks-labs/releases.atom
microsoft/azureconfidentialledger-app-samples,samples,main,https://github.com/microsoft/azureconfidentialledger-app-samples/commits/main.atom,https://github.com/microsoft/azureconfidentialledger-app-samples/releases.atom
microsoft/azure_pg_dev_workshop,training,main,https://github.com/microsoft/azure_pg_dev_workshop/commits/main.atom,https://github.com/microsoft/azure_pg_dev_workshop/releases.atom
dotnet/aspire-samples,samples,main,https://github.com/dotnet/aspire-samples/commits/main.atom,https://github.com/dotnet/aspire-samples/releases.atom
Azure-Samples/load-testing-restricted-public-access,samples,main,https://github.com/Azure-Samples/load-testing-restricted-public-access/commits/main.atom,https://github.com/Azure-Samples/load-testing-restricted-public-access/releases.atom
Azure-Samples/aks-store-demo,samples,main,https://github.com/Azure-Samples/aks-store-demo/commits/main.atom,https://github.com/Azure-Samples/aks-store-demo/releases.atom
Azure/aks-rdma-infiniband,samples,main,https://github.com/Azure/aks-rdma-infiniband/commits/main.atom,https://github.com/Azure/aks-rdma-infiniband/releases.atom
microsoft/PSDocs-vscode,docs,main,https://github.com/microsoft/PSDocs-vscode/commits/main.atom,https://github.com/microsoft/PSDocs-vscode/releases.atom
dotnet/docs-tools,docs,main,https://github.com/dotnet/docs-tools/commits/main.atom,https://github.com/dotnet/docs-tools/releases.atom
microsoft/kiota-samples,docs,main,https://github.com/microsoft/kiota-samples/commits/main.atom,https://github.com/microsoft/kiota-samples/releases.atom
microsoft/WhatTheHack,samples,master,https://github.com/microsoft/WhatTheHack/commits/master.atom,https://github.com/microsoft/WhatTheHack/releases.atom
aspnet/AzureSignalR-samples,samples,main,https://github.com/aspnet/AzureSignalR-samples/commits/main.atom,https://github.com/aspnet/AzureSignalR-samples/releases.atom
microsoft/vscode-mock-debug,samples,main,https://github.com/microsoft/vscode-mock-debug/commits/main.atom,https://github.com/microsoft/vscode-mock-debug/releases.atom
microsoft/chat-with-your-data-solution-accelerator,samples,main,https://github.com/microsoft/chat-with-your-data-solution-accelerator/commits/main.atom,https://github.com/microsoft/chat-with-your-data-solution-accelerator/releases.atom
microsoft/mcp-on-windows-samples,samples,main,https://github.com/microsoft/mcp-on-windows-samples/commits/main.atom,https://github.com/microsoft/mcp-on-windows-samples/releases.atom
microsoft/release-manager-assistant,samples,main,https://github.com/microsoft/release-manager-assistant/commits/main.atom,https://github.com/microsoft/release-manager-assistant/releases.atom
Azure-Samples/RealtimeAIApp-JS,samples,main,https://github.com/Azure-Samples/RealtimeAIApp-JS/commits/main.atom,https://github.com/Azure-Samples/RealtimeAIApp-JS/releases.atom
Azure-Samples/m365-custom-engine-agents,samples,main,https://github.com/Azure-Samples/m365-custom-engine-agents/commits/main.atom,https://github.com/Azure-Samples/m365-custom-engine-agents/releases.atom
Azure-Samples/mcp-sdk-functions-hosting-java,samples,main,https://github.com/Azure-Samples/mcp-sdk-functions-hosting-java/commits/main.atom,https://github.com/Azure-Samples/mcp-sdk-functions-hosting-java/releases.atom
Azure-Samples/app-service-agentic-langgraph-foundry-node,samples,main,https://github.com/Azure-Samples/app-service-agentic-langgraph-foundry-node/commits/main.atom,https://github.com/Azure-Samples/app-service-agentic-langgraph-foundry-node/releases.atom
Azure-Samples/pizza-mcp-agents,samples,main,https://github.com/Azure-Samples/pizza-mcp-agents/commits/main.atom,https://github.com/Azure-Samples/pizza-mcp-agents/releases.atom
Azure-Samples/remote-mcp-webapp-node,samples,main,https://github.com/Azure-Samples/remote-mcp-webapp-node/commits/main.atom,https://github.com/Azure-Samples/remote-mcp-webapp-node/releases.atom
Azure/logicapps-labs,training,main,https://github.com/Azure/logicapps-labs/commits/main.atom,https://github.com/Azure/logicapps-labs/releases.atom
Azure-Samples/app-service-rag-openai-ai-search-nodejs,samples,main,https://github.com/Azure-Samples/app-service-rag-openai-ai-search-nodejs/commits/main.atom,https://github.com/Azure-Samples/app-service-rag-openai-ai-search-nodejs/releases.atom
Azure-Samples/Delivery-tracking-vCore-debezium,samples,main,https://github.com/Azure-Samples/Delivery-tracking-vCore-debezium/commits/main.atom,https://github.com/Azure-Samples/Delivery-tracking-vCore-debezium/releases.atom
microsoft/pp-mcp,samples,main,https://github.com/microsoft/pp-mcp/commits/main.atom,https://github.com/microsoft/pp-mcp/releases.atom
Azure-Samples/cosmos-db-mongodb-vcore-nodejs-quickstart,samples,main,https://github.com/Azure-Samples/cosmos-db-mongodb-vcore-nodejs-quickstart/commits/main.atom,https://github.com/Azure-Samples/cosmos-db-mongodb-vcore-nodejs-quickstart/releases.atom
Azure-Samples/mcp-container-ts,samples,main,https://github.com/Azure-Samples/mcp-container-ts/commits/main.atom,https://github.com/Azure-Samples/mcp-container-ts/releases.atom
microsoft/mcsmcp,training,main,https://github.com/microsoft/mcsmcp/commits/main.atom,https://github.com/microsoft/mcsmcp/releases.atom
Azure-Samples/azure-ai-travel-agents,samples,main,https://github.com/Azure-Samples/azure-ai-travel-agents/commits/main.atom,https://github.com/Azure-Samples/azure-ai-travel-agents/releases.atom
Azure-Samples/azure-container-apps-ai-mcp,samples,main,https://github.com/Azure-Samples/azure-container-apps-ai-mcp/commits/main.atom,https://github.com/Azure-Samples/azure-container-apps-ai-mcp/releases.atom
dotnet/docs-aspire,docs,main,https://github.com/dotnet/docs-aspire/commits/main.atom,https://github.com/dotnet/docs-aspire/releases.atom
Azure-Samples/ai-slm-in-app-service-sidecar,samples,main,https://github.com/Azure-Samples/ai-slm-in-app-service-sidecar/commits/main.atom,https://github.com/Azure-Samples/ai-slm-in-app-service-sidecar/releases.atom
microsoft/Document-Knowledge-Mining-Solution-Accelerator,samples,main,https://github.com/microsoft/Document-Knowledge-Mining-Solution-Accelerator/commits/main.atom,https://github.com/microsoft/Document-Knowledge-Mining-Solution-Accelerator/releases.atom
OfficeDev/microsoft-365-agents-toolkit-samples,samples,dev,https://github.com/OfficeDev/microsoft-365-agents-toolkit-samples/commits/dev.atom,https://github.com/OfficeDev/microsoft-365-agents-toolkit-samples/releases.atom
Azure-Samples/communication-services-web-chat-hero,samples,main,https://github.com/Azure-Samples/communication-services-web-chat-hero/commits/main.atom,https://github.com/Azure-Samples/communication-services-web-chat-hero/releases.atom
microsoft/AzureDevOps-WSJF-Extension,samples,master,https://github.com/microsoft/AzureDevOps-WSJF-Extension/commits/master.atom,https://github.com/microsoft/AzureDevOps-WSJF-Extension/releases.atom
Azure-Samples/durable-agents-travel-planner,samples,main,https://github.com/Azure-Samples/durable-agents-travel-planner/commits/main.atom,https://github.com/Azure-Samples/durable-agents-travel-planner/releases.atom
Azure-Samples/appconfig-javascript-clientapp-with-afd,samples,main,https://github.com/Azure-Samples/appconfig-javascript-clientapp-with-afd/commits/main.atom,https://github.com/Azure-Samples/appconfig-javascript-clientapp-with-afd/releases.atom
microsoft/Agent-Framework-Samples,samples,main,https://github.com/microsoft/Agent-Framework-Samples/commits/main.atom,https://github.com/microsoft/Agent-Framework-Samples/releases.atom
microsoft/electron-on-windows-gallery,samples,main,https://github.com/microsoft/electron-on-windows-gallery/commits/main.atom,https://github.com/microsoft/electron-on-windows-gallery/releases.atom
microsoft/Reversible-App-Sample,samples,main,https://github.com/microsoft/Reversible-App-Sample/commits/main.atom,https://github.com/microsoft/Reversible-App-Sample/releases.atom
microsoft/sip-ai-workshop,training,main,https://github.com/microsoft/sip-ai-workshop/commits/main.atom,https://github.com/microsoft/sip-ai-workshop/releases.atom
Azure-Samples/communication-services-openai-sample,samples,main,https://github.com/Azure-Samples/communication-services-openai-sample/commits/main.atom,https://github.com/Azure-Samples/communication-services-openai-sample/releases.atom
Azure-Samples/octopets,samples,main,https://github.com/Azure-Samples/octopets/commits/main.atom,https://github.com/Azure-Samples/octopets/releases.atom
microsoft/fabric-toolbox,samples,main,https://github.com/microsoft/fabric-toolbox/commits/main.atom,https://github.com/microsoft/fabric-toolbox/releases.atom
Azure-Samples/acs-teams-recording,samples,main,https://github.com/Azure-Samples/acs-teams-recording/commits/main.atom,https://github.com/Azure-Samples/acs-teams-recording/releases.atom
Azure-Samples/contoso-air-refresh,samples,main,https://github.com/Azure-Samples/contoso-air-refresh/commits/main.atom,https://github.com/Azure-Samples/contoso-air-refresh/releases.atom
Azure-Samples/logicapps-labs,samples,main,https://github.com/Azure-Samples/logicapps-labs/commits/main.atom,https://github.com/Azure-Samples/logicapps-labs/releases.atom
Azure-Samples/retail-search-with-ai,samples,main,https://github.com/Azure-Samples/retail-search-with-ai/commits/main.atom,https://github.com/Azure-Samples/retail-search-with-ai/releases.atom
MicrosoftLearning/mslearn-copilotstudio.ja-jp,training,main,https://github.com/MicrosoftLearning/mslearn-copilotstudio.ja-jp/commits/main.atom,https://github.com/MicrosoftLearning/mslearn-copilotstudio.ja-jp/releases.atom
